title;for;dex;con;int;sag;cha;ref;vig;vol;init;pv;ca;xp;vd;sorts;resistances;corps a corps;distance;attaques speciales;dons;competences;modificateurs raciaux;sens;langues;environnement;tresor;organisation sociale;bba;bmo;dmd;text;misc;
"Gobelin";"11";"15";"12";"10";"9";"6";"+2";"+3";"-1";"+6";"6 (1d10+1)";"16, contact 13, pris au depourvu 14 (armure +2, bouclier +1, dex +2, taille +1)";"135";"9 m (6 c)";"";;"epee courte, +2 (1d4/19-20)";"arc court, +4 (1d4/x3)";;"science de l'initiative";"discretion +10, equitation +10, natation +4";"discretion +4, equitation +4";"vision dans le noir 18 m (12 c) ; perception -1";"gobelin";"forets/plaines temperes (regions cotieres surtout)";"equipement de pnj (arc court avec 20 fleches, armure de cuir, epee courte, rondache de bois, autres tresors)";"bande (4-9), groupe de combat (10-16 avec de chiens gobelins comme montures) ou tribu (17+ plus 100% non combattants ; 1 sergent de niveau 3 par 20 adultes ; 1 ou 2 lieutenants de niveau 4 ou 5 ; 1 chef de niveau 6-8 ; et 10-40 chiens gobelin, loups ou worgs)";"+1";"+0";"12";"* Source : Bestiaire p.162
* Gobelin, combattant 1
* Humanoïde (gobelinoïde) de taille P, NM";"";
"Gobelours";"16";"13";"13";"10";"10";"9";"+4";"+2";"+1";"+1";"16 (3d8+3)";"17, contact 11, pris au depourvu 16 (armure +2, bouclier +1, dex +1, naturelle +3)";"600";"9 m (6 c)";"";;"morgenstern, +5 (1d8+3)";"javeline, +3 (1d6+3)";;"force intimidante, talent (perception)";"discretion +10, intimidation +7, perception +8";"discretion +4, intimidation +4";"odorat, vision dans le noir 18 m (12 c) ; perception +8";"commun, gobelin";"montagnes temperees";"equipement de pnj (armure de cuir, rondache en bois, morgenstern, 3 javelines, autres tresors)";"solitaire, couple, bande (3-6) ou groupe de combat (7-12 et 2 hommes d'armes de niveau 1 et 1 chef de niveau 3-5)";"+2";"+5";"16";"* Source : Bestiaire p.163
* Humanoïde (gobelinoïde) de taille M, CM";"* traqueur : discretion et perception sont des competences de classe pour tous les gobelours
* particularites : traqueur";
"Golem alchimique";"27";"18";"-";"-";"11";"1";"+8";"+4";"+4";"+4";"96 (12d10+30)";"23, contact 13, pris au depourvu 19 (dex +4, naturelle +10, taille -1)";"6.400";"9 m (6 c)";"";;"2 coups, +19 (2d8+8 plus alchimie)";"bombe, +15 (8d6 energie)";"alchimie, bombes, eclaboussures";;;;"vision dans le noir 18 m (12 c), vision nocturne ; perception +0";;"tous";"aucun";"solitaire ou bande (2-4)";"+12";"+21";"35";"* Source : Bestiaire 2 p.143
* Créature artificielle de taille G, N";"* immunite a la magie : les golems alchimiques sont immunises contre tous les sorts et pouvoirs magiques contre lesquels la resistance a la magie s'applique, a l'exception des sorts du registre du son. fracassement affecte un golem alchimique comme s'il s'agissait d'une creature cristalline
* immunites : magie, traits des creatures artificielles
* espace : 3 m (2 c)
* bombes : par une action simple, un golem alchimique peut lancer une bombe en effectuant une attaque de contact a distance avec une portee maximale de 18 metres (12 c) (sans facteur de portee). si l'attaque rate, les regles relatives aux armes d'aspersion s'appliquent pour determiner le point d'impact de la bombe. toutes les creatures touchees par une bombe de golem alchimique subissent 8d6 points de degats d'acide, d'electricite, de feu ou de froid (determine aleatoirement). toutes les creatures adjacentes subissent 1d6 points de degats du meme type
* rd : 10/adamantium ou contondant
* eclaboussures : tout coup porte sur un golem alchimique avec une arme de corps a corps sans allonge inflige 1 point de degat d'acide, d'electricite, de feu ou de froid (determine aleatoirement) a l'attaquant. les degats passent a 1d6 points en cas de coup critique
* allonge : 3 m (2 c)
* alchimie : quand un golem alchimique frappe un ennemi, l'attaque a un effet supplementaire determine aleatoirement parmi les options suivantes : l'attaque inflige 1d6 points de degats d'acide, d'electricite, de feu ou de froid, rend la victime fievreuse (vigueur dd 16 annule) ou l'enchevetre (reflexes dd 16 annule) pendant 1d4 rounds. les dd des jets de sauvegarde dependent de la constitution";
"Golem d'adamantium";"36";"9";"-";"-";"11";"1";"+9";"+10";"+10";"-1";"205 (30d10+40) ; guerison acceleree 10";"33, contact 7, pris au depourvu 33 (dex -1, naturelle +26, taille -2)";"204.800";"9 m (6 c)";"";;"2 coups, +41 (6d10+13/19-20)";"bombe, +15 (8d6 energie)";"frappe destructrice, pietinement (6d10+19, dd 38)";;;;"vision dans le noir 18 m (12 c), vision nocturne ; perception +0";;"tous";"aucun";"solitaire ou bande (2-4)";"+30";"+45";"54";"* Source : Bestiaire 2 p.144
* Créature artificielle de taille TG, N
* Un sort de transmutation du métal en bois ralentit un golem d'adamantium pendant 1d4 rounds et réduit sa RD à 15/adamantium (sans jet de sauvegarde).";"* espace : 4,50 m (3 c)
* rd : 15/epique
* immunites : magie, traits des creatures artificielles
* immunite a la magie : les golems d'adamantium sont immunises contre tous les sorts et pouvoirs magiques contre lesquels la resistance a la magie s'applique a l'exception des cas suivants
* capacites defensives : indestructible
* indestructible : un golem d'adamantium est quasiment impossible a detruire. meme s'il est amene sous 0 point de vie, sa capacite de guerison acceleree continue de lui redonner des points de vie (il reste cependant sans defense tant qu'il ne repasse pas au-dessus de 0 point de vie). il ne peut etre detruit de maniere permanente que s'il est amene a un nombre de points de vie negatif puis decapite avec une arme vorpale en adamantium. il est egalement possible d'utiliser un miracle ou un souhait pour le tuer lorsqu'il a ete amene sous 0 point de vie
* allonge : 4,50 m (3 c)
* frappe destructrice : les attaques de coups d'un golem d'adamantium ont une zone de critique possible de 19-20. de plus, chaque fois que le golem porte un coup critique, il inflige 6d10+13 points de degats a l'armure ou au bouclier de la cible en plus des degats normaux, comme s'il avait egalement effectue une tentative de destruction d'objet reussie";
"Golem d'argile";"24";"9";"-";"-";"11";"1";"+3";"+4";"+4";"-1";"101 (13d10+30)";"24, contact 8, pris au depourvu 24 (dex -1, naturelle +16, taille -1)";"9.600";"6 m (4 c)";"";;"2 coups, +19 (2d10+7 et blessure maudite)";;"fureur devastatrice, rapidite";;;;"vision dans le noir 18 m (12 c), vision nocturne ; perception +0";;"quelconque";"aucun";"solitaire ou bande (2-4)";"+13";"+21";"30";"* Source : Bestiaire p.165
* Créature artificielle de taille G, N
* Le sort de glissement de terrain repousse le golem sur 36 m (24 c) et lui inflige 3d12 points de dégâts (sans jet de sauvegarde).
* Le sort de désintégration ralentit le golem (comme le sort de lenteur) pendant 1d6 rounds et lui inflige 1d12 points de dégâts (sans jet de sauvegarde).
* Un sort de tremblement de terre lancé directement sur le golem l'empêche de se déplacer au cours de son tour suivant et lui inflige 5d10 points de dégâts (sans JS).
* Lorsque le golem d'argile est la cible d'une attaque magique causant les dégâts d'acide, il guérit de 1 point de dégâts pour chaque tranche de 3 points de dégâts que l'attaque est censée infliger. Si cette effet donne au golem un nombre de points de vie dépassant son maximum, les points excédentaires sont des points de vie temporaires. Les effets qui infligent des dégâts d'acide n'autorisent aucun jet de sauvegarde de la part du golem d'argile.";"* fureur devastatrice : lorsqu'un golem d'argile combat, il y a un risque que l'esprit elementaire qui l'anime se libere et que le golem entre dans une fureur devastatrice. ce risque s'eleve a 1% lors du premier round, augmente de 1% a chaque round de combat et retombe a 0% apres une minute d'inactivite. la fureur devastatrice pousse le golem a attaquer la creature vivante la plus proche ou a frapper un objet de taille inferieure a la sienne s'il n'y a aucune creature a portee. il n'existe aucune methode connue pour reprendre le controle d'un golem ayant succombe a cette fureur devastatrice
* immunite contre la magie : les golems d'argile sont immunises contre tous les sorts et pouvoirs magiques contres lesquels la resistance a la magie fonctionne. en plus de cela, certains sorts et effets agissent differemment lorsqu'ils sont utilises contre eux :
* rapidite : une fois par jour, apres avoir combattu pendant au moins un round, un golem d'argile peut utiliser une action libre pour devenir plus rapide. l'effet dure 3 rounds et fonctionne comme le sort de rapidite
* allonge : 3 m (2 c)
* blessure maudite : les degats infliges par un golem d'argile ne guerissent pas naturellement et sont difficiles a soigner par magie. lorsqu'un personnage tente d'utiliser un soin magique sur une creature blessee par un golem d'argile, il doit reussir un test de nls contre un dd de 26 pour que le soin ait un quelconque effet sur elle
* espace : 3 m (2 c)
* rd : 10/adamantium et contondant
* immunites : traits des creatures artificielles, magie";
"Golem de bois";"18";"17";"-";"-";"17";"1";"+5";"+2";"+5";"+3";"64 (8d10+20)";"19, contact 13, pris au depourvu 16 (dex +3, naturelle +6)";"2.400";"9 m (6 c)";"";;"2 coups, +12 (2d6+4)";;"eclats de bois";;;;"vision dans le noir 18 m (12 c), vision nocturne ; perception +0";;"tous";"aucun";"solitaire ou bande (24)";"+8";"+12";"25 (30 contre croc-en-jambe)";"* Source : Bestiaire p.166
* Créature artificielle de taille M, N
* Les sorts de distorsion du bois et de façonnage du bois ralentissent le golem (comme par le sort de lenteur) pendant 2d6 rounds (sans jet de sauvegarde).
* Le sort d'éloignement du bois repousse le golem sur 18 m (12 c) et lui inflige 2d12 points de dégâts (sans jet de sauvegarde).
* Les attaquent magiques qui causent de dégâts de froid mettent un terme à tous les effets de lenteur qui affectent le golem et le guérissent de 1 points de dégâts pour chaque tranche de 3 points de dégâts qu'elles infligeraient dans une situation normale. Si cet effet donne au golem un nombre de points de vie dépassant son maximum, les points excédentaires des points de vie temporaires. Les effets qui infligent des dégâts de froid n'autorisent aucun jet de sauvegarde de la part du golem du bois.";"* immunites : magie, traits des creatures artificielles
* rd : 5/adamantium
* immunite contre la magie : les golems de bois sont immunises contre tous les sorts et pouvoirs magiques contre lesquels la resistance a la magie fonctionne, a l'exception des sorts et pouvoirs magiques qui ont le descripteur feu, qui l'affectent normalement. en plus de cela, certains sorts et effets agissent differemment lorsqu'ils sont utilises contre eux :
* eclats de bois : par une action libre utilisable tous les 1d4+1 rounds, un golem de bois peut projeter des eclats de bois aceres dans un rayon de 6 m (4 c). toutes les creatures situees dans la zone subissent 6d6 points de degats de type tranchant (un jet de reflexes de dd 14 permet de diviser les degats par deux). le dd depend de la constitution
* faiblesses : vulnerabilite au feu";
"Golem de chair";"20";"9";"-";"-";"11";"1";"+2";"+3";"+3";"-1";"79 (9d10+30)";"20, contact 8, pris au depourvu 20 (dex -1, naturelle +12, taille -1)";"3.200";"9 m (6 c)";"";;"2 coups, +13 (2d8+5)";;"fureur devastatrice";;;;"vision dans le noir 18 m (12 c), vision nocturne ; perception +0";"aucune";"quelconque";"aucun";"solitaire ou bande (2-4)";"+9";"+15";"24";"* Source : Bestiaire p.167
* Créature artificielle de taille G, N
* Les attaques magiques qui causent des dégâts de froid ou de feu ralentissent le golem de chair (comme par le sort de lenteur) pendant 2d6 rounds (sans jet de sauvegarde).
* Les attaques magiques qui causent de dégâts d'électricité mettent un terme à tous les effets de lenteur qui affectent le golem et le guérissent de 1 point de dégâts pour chaque tranche de 3 points qu'elles infligeraient dans une situation normale. Si cet effet donne au golem un nombre de points de vie dépassant son maximum, les points excédentaires sont des points de vie temporaires. Les effets qui infligent des dégâts d'électricité n'autorisent aucun jet de sauvegarde de la part du golem de chair.";"* allonge : 3 m (2 c)
* fureur devastatrice : lorsqu'un golem de chair combat, il y a un risque que l'esprit elementaire qui l'anime se libere et que le golem entre dans une fureur devastatrice. ce risque s'eleve a 1% lors du premier round, augmente de 1% a chaque round de combat. la fureur devastatrice pousse le golem a ravager tout ce qui lui tombe sous la main : il attaque la creature vivante la plus proche ou frappe un objet plus petit que lui s'il n'y a aucune creature a portee, puis il continue a semer la destruction. si le createur du golem se trouve a moins de 18 m (12 c), il peut tenter de reprendre le controle de la creature en lui parlant de maniere ferme et persuasive, ce qui necessite un test de charisme de dd 19. c'est seulement apres que le golem soit reste inactif pendant 1 minute entiere que le risque de fureur devastatrice retombe a 0%
* immunite contre la magie : les golems d'argile sont immunises contre tous les sorts et pouvoirs magiques contres lesquels la resistance a la magie fonctionne. en plus de cela, certains sorts et effets agissent differemment lorsqu'ils sont utilises contre eux :
* espace : 3 m (2 c)
* rd : 5/adamantium
* immunites : magie, traits des creatures artificielles";
"Golem de charogne";"17";"12";"-";"-";"11";"1";"+2";"+1";"+1";"+1";"42 (4d10+20)";"17, contact 11, pris au depourvu 16 (dex +1, naturelle +6)";"1.200";"9 m (6 c)";"";;"2 coups, +7 (1d8+3 plus maladie)";;"porteur de maladie";;;;"perception aveugle 3 m (2 c), vision dans le noir 18 m (12 c), vision nocturne ; perception +0";;"terre ferme";"aucun";"solitaire ou bande (2-4)";"+4";"+7";"18";"* Source : Bestiaire 2 p.145
* Créature artificielle de taille M, N
* Préservation des morts raidit les mouvements du golem et le rend sans défense pendant 1d4 rounds s'il rate un jet de Volonté contre le sort.
* Animation des morts cause 1d6 points de dégâts par NLS au golem (sans jet de sauvegarde) à cause des portions du corps qui se déplacent et se déchirent.
* Toutes les attaques magiques qui infligent des dégâts de froid ou de feu ralentissent le Golem de charogne (comme par le sort de lenteur) pendant 2d6 rounds (sans jet de sauvegarde).
* Toutes les attaques magiques qui infligent des dégâts d'électricité accélèrent le Golem de charogne (comme par le sort de rapidité) pendant 2d6 rounds (sans jet de sauvegarde).
* Fièvre des marais : Coup - blessure ; JdS Vigueur DD 14 ; incubation 1d3 jours ; fréquence 1/jour ; effet affaiblissement temporaire 1d3 Dex et 1d3 Con ; guérison 2 réussites consécutives.";"* porteur de maladies : quand un golem de charogne est cree, son createur l'infecte avec une maladie de son choix. le golem peut ensuite infecter ceux qu'il touche avec ses attaques de coups. la plupart des golems de charogne portent la fievre des marais. le dd du jet de sauvegarde depend de la constitution et inclut un bonus racial de +2
* immunite a la magie : les golems de charogne sont immunises contre tous les sorts et pouvoirs magiques contre lesquels la resistance a la magie s'applique. de plus, certains sorts et effets magiques fonctionnent de maniere differente contre eux, comme indique ci-dessous
* immunites : magie, traits des creatures artificielles
* puanteur horrible : cette capacite fonctionne comme la capacite de puanteur, mais elle rend les victimes nauseeuses au lieu de fievreuses
* aura : puanteur horrible (dd 12, 1 round)
* rd : 5/contondant ou tranchant";
"Golem de fer";"32";"9";"-";"-";"11";"1";"+5";"+6";"+6";"-1";"129 (18d10+30)";"28, contact 8, pris au depourvu 28 (dex -1, naturelle +20, taille -1)";"25.600";"6 m (4 c)";"";;"2 coups, +28 (2d10+16/19-20)";;"coups puissants, souffle";;;;"vision dans le noir 18 m (12 c), vision nocturne ; perception +0";;"quelconque";"aucun";"solitaire ou bande (2-4)";"+18";"+30";"39";"* Source : Bestiaire p.168
* Créature artificielle de taille G, N
* Les attaques magiques qui causent des dégâts d'électricité ralentissent le golem de fer (comme par le sort de lenteur) pendant 3 rounds (sans jet de sauvegarde).
* Les attaques magiques qui causent des dégâts de feu mettent un terme à tous les effets de lenteur qui affectent le golem et le guérissent de 1 points de dégâts par tranche de 3 points de dégâts qu'elles infligeraient dans une situation normale. Si cet effet donne au golem un nombre de points de vie dépassant son maximum, les points excédentaires deviennent des points de vie temporaires. Les effets qui infligent de dégâts de feu n'autorisent aucun jet de sauvegarde de la par du golem de fer.";"* immunites : magie, traits des creatures artificielles
* espace : 3 m (2 c)
* rd : 15/adamantium
* allonge : 3 m (2 c)
* coups puissants : les attaques de coups des golems de fer infligent des degats augmentes de 1,5 fois leur modificateur de force, avec une plage de critique etendue a 19-20
* immunite contre la magie : les golems de fer sont immunises contre tous les sorts et pouvoirs magiques contre lesquels la resistance a la magie fonctionne. en plus de cela, certains sorts et effets agissent differemment lorsqu'ils sont utilises contre eux :
* souffle : par une action libre utilisable une fois tous les 1d4+1 rounds, un golem de fer peut souffler un cube de 3 m (2 c) de cote de gaz empoisonne. le nuage de gaz persiste pendant 1 round. toutes les creatures situees dans la zone au moment de sa creation (et toutes celles qui traversent le nuage au cours de son round d'existence) sont exposees aux effets du poison. le poison est cree par magie chaque fois que le golem utilise cette capacite. souffle - inhalation ; js vigueur dd 19 ; frequence 1/round pendant 4 rounds ; effet affaiblissement temporaire de 1d4 con ; guerison 2 reussites consecutives. le dd depend de la constitution";
"Golem de glace";"16";"9";"-";"-";"11";"1";"+1";"+2";"+2";"-1";"53 (6d10+20)";"17, contact 9, pris au depourvu 17 (dex -1, naturelle +8)";"1.600";"9 m (6 c)";"";;"2 coups, +9 (1d6+3 et 1d6 froid)";;"explosion de glace, froid (1d6), souffle (cone de 6 m (4 c), 3d6 froid, reflexes dd 13, 1/2 degats, utilisable tous les 1d4 rounds)";;;;"vision dans le noir 18 m (12 c), vision nocturne ; perception +0";;"climat froid";"aucun";"solitaire ou bande (2-4)";"+6";"+9";"18";"* Source : Bestiaire p.169
* Créature artificielle (froid) de taille M, N
* Les attaques magiques qui causent des dégâts d'électricité ralentissent le golem de glace (comme par le sort de lenteur) pendant 2d6 rounds (sans jet de sauvegarde).
* Les attaques magiques qui causent des dégâts de froid mettent un terme à tous les effets de lenteur qui affectent le golem et le guérissent de 1 points de dégâts par tranche de 3 points de dégâts qu'elles infligeraient dans un situation normale. Si cet effet donne au golem un nombre de points de vie dépassant son maximum, les points excédentaires deviennent des points de vie temporaires. Les effets qui infligent des dégâts de froid n'autorisent aucun jet de sauvegarde de la part du golem de glace.";"* immunite contre la magie : les golems de glace sont immunises contre tous les sorts et pouvoirs magiques contre lesquels la resistance a la magie fonctionne, a l'exception des sorts et pouvoirs magiques du registre du feu qui, eux, les affectent normalement. en plus de cela, certains sorts et effets agissent differemment lorsqu'ils sont utilises contre ces golems :
* explosion de glace : un golem de glace reduit a 0 pv se brise et explose en projetant des eclats de glace aceres. les creatures situees dans un rayon de 3 m (2 c) subissent 3d6 points de degats de type tranchant et 2d6 points de degats de froid. un jet de reflexes de dd 13 permet de diviser ces degats par deux. le dd depend de la constitution
* faiblesses : vulnerabilite au feu
* rd : 5/adamantium
* immunites : froid, magie, traits des creatures artificielles
* froid : le corps d'un golem de glace genere un froid intense qui lui permet d'infliger 1d6 points de degats d'un simple contact. les creatures qui attaquent le golem de glace a mains nues ou avec des armes naturelles subissent ces degats de froid chaque fois qu'une de leurs attaques touche";
"Golem de mithral";"33";"24";"-";"-";"11";"1";"+15";"+8";"+8";"+7";"172 (24d10+40)";"31, contact 15, pris au depourvu 24 (dex +7, naturelle +16, taille -2)";"76.800";"15 m (10 c)";"";;"2 coups, +33 (4d10+11)";;"forme liquide, rapidite";"attaque eclair{b}, course{b}, esquive{b}, souplesse du serpent{b}";;;"vision dans le noir 18 m (12 c), vision nocturne ; perception +0";;"tous";"aucun";"solitaire ou bande (2-4)";"+24";"+37";"54";"* Source : Bestiaire 2 p.146
* Créature artificielle de taille TG, N
* Un sort de lenteur lancé sur le golem lui fait perdre sa capacité de rapidité pendant 1d6 rounds.
* Un sort de rapidité soigne le golem de 1d6 points de dégâts par NLS (maximum 10d6).
* Tout sort de niveau inférieur ou égal à 6, appartenant au registre du froid et lancé sur un Golem de mithral sous forme liquide lui inflige 10d6 points de dégâts (sans jet de sauvegarde) et lui fait perdre l'usage de sa capacité de forme liquide pendant 24 heures.";"* immunites : magie, traits des creatures artificielles
* immunite a la magie : les golems de mithral sont immunises contre tous les sorts et pouvoirs magiques contre lesquels la resistance a la magie s'applique. de plus, certains sorts et effets magiques fonctionnent de maniere differente contre eux, comme indique ci-dessous :
* espace : 4,50 m (3 c)
* rd : 15/adamantium
* capacites defensives : esquive totale
* forme liquide : le corps d'un golem de mithral peut se transformer en argent liquide par une action rapide. lorsqu'il est sous cette forme, le golem de mithral dispose d'une allonge accrue de 9 metres (6 c) et sa rd devient 15/contondant et adamantium. sous cette forme, le golem de mithral peut egalement se faufiler a travers n'importe quelle fissure ou trou dans un mur ou une porte sans devoir ralentir (quelle que soit la taille de l'orifice). le golem de mithral peut conserver cette forme pendant un maximum de 10 rounds par jour, mais ces rounds ne doivent pas forcement etre consecutifs. une action libre lui suffit pour reprendre sa forme normale
* rapidite : un golem de mithral est incroyablement rapide. il peut accomplir une action de mouvement supplementaire au cours de chacun de ses tours. cela signifie qu'il peut par exemple avancer de sa vitesse de deplacement et effectuer une attaque a outrance
* allonge : 4,50 m (3 c)";
"Golem de pierre";"28";"9";"-";"-";"11";"1";"+3";"+4";"+4";"-1";"107 (14d10+30)";"26, contact 8, pris au depourvu 26 (dex -1, naturelle +18, taille -1)";"12.800";"6 m (4 c)";"";;"2 coups, +22 (2d10+9)";;"ralentissement";;;;"vision dans le noir 18 m (12 c), vision nocturne ; perception +0";;"quelconque";"aucun";"solitaire ou bande (2-4)";"+14";"+24";"33";"* Source : Bestiaire p.170
* Créature artificielle de taille G, N
* Le sort de transmutation de la pierre en boue ralentit le golem (comme par le sorts de lenteur) pendant 2d6 rounds (sans jet de sauvegarde) et le sort transmutation de la boue en pierre guérit tous les points de vie qu'il a perdus.
* Le sort de transmutation de la pierre en chair ne modifie pas la composition du golem mais supprime sa RD et son immunité contre la magie pendant 1 round entier.";"* immunite contre la magie : les golems de pierre sont immunises contre tous les sorts et pouvoirs magiques contres lesquels la resistance a la magie fonctionne. en plus de cela, certains sorts et effets agissent differemment lorsqu'ils sont utilises contre eux :
* allonge : 3 m (2 c)
* ralentissement : par une action libre utilisable tous les 2 rounds, un golem de pierre peut creer un effet de ralentissement (comme le sort de lenteur). l'effet agit dans un rayonnement de 3 m (2 c) centres sur le golem et persiste pendant 7 rounds. un jet de volonte de dd 17 permet de l'annuler. le dd depend de la constitution
* espace : 3 m (2 c)
* rd : 10/adamantium
* immunites : magie, traits des creatures artificielles";
"Golem de verre";"20";"9";"-";"-";"11";"1";"+3";"+4";"+4";"-1";"96 (12d10+30)";"21, contact 8, pris au depourvu 21 (dex -1, naturelle +13, taille -1)";"4.800";"9 m (6 c)";"";;"2 coups, +16 (2d8+5 plus saignement)";;"reflets eblouissants, saignement (1d8)";;;;"vision dans le noir 18 m (12 c), vision nocturne ; perception +0";;"terre ferme";"aucun";"solitaire ou bande (2-5)";"+12";"+18";"27";"* Source : Bestiaire 2 p.147
* Créature artificielle de taille G, N
* Un sort de fracassement blesse le golem de verre comme s'il était une créature cristalline.
* Un sort d'affûtage affecte toutes les attaques naturelles de coup du golem de verre comme s'il s'agissait d'armes tranchantes.
* Toutes les attaques magiques qui infligent des dégâts de froid ralentissent le golem de verre (comme par le sort de lenteur) pendant 3 rounds (sans jet de sauvegarde).
* Toutes les attaques magiques qui infligent des dégâts de feu mettent un terme aux effets ralentissant le golem de verre et le soignent de 1 point de dégât par tranche de 3 points de dégâts qu'elles lui auraient normalement infligés. Si ces points de vie récupérés amènent le golem à dépasser son maximum de points de vie, les points excédentaires prennent la forme de points de vie temporaires. Les golems de verre ne bénéficient d'aucun jet de sauvegarde contre les effets de feu.";"* renvoi de sorts : par une action libre utilisable tous les 1d4 rounds, un golem de verre peut realigner sa structure interne pour ameliorer sa resistance a la magie pendant 1 round. pendant ce temps, le golem renvoie les sorts (meme ceux qui fonctionnent differemment sur le golem grace a sa capacite d'immunite contre la magie) comme s'il etait affecte par un sort de renvoi des sorts
* capacites defensives : renvoi de sorts
* allonge : 3 m (2 c)
* espace : 3 m (2 c)
* rd : 5/adamantium
* immunites : magie, traits des creatures artificielles
* reflets eblouissants : un golem de verre situe dans une zone de lumiere vive eblouit toutes les creatures situees dans un rayon de 9 metres (6 c) et capables de le voir (vigueur dd 16 annule). les creatures qui ont reussi leur jet de sauvegarde contre cette capacite sont immunisees contre les reflets eblouissants du golem de verre en question pendant les 24 heures qui suivent. le dd du jet de sauvegarde depend de la constitution
* immunite a la magie : les golems de verre sont immunises contre tous les sorts et pouvoirs magiques contre lesquels la resistance a la magie s'applique. de plus, certains sorts et effets magiques fonctionnent de maniere differente contre eux, comme indique ci-dessous :";
"Golem mécanique";"27";"12";"-";"-";"11";"1";"+6";"+5";"+5";"+1";"118 (16d10+30)";"26, contact 10, pris au depourvu 25 (dex +1, naturelle +16, taille -1)";"19.200";"9 m (6 c)";"";;"2 coups, +23 (2d10+8 plus etreinte)";;"explosion mortelle, mur d'engrenages, reduction en charpies";;;;"vision dans le noir 18 m (12 c), vision nocturne ; perception +0";;"tous";"aucun";"solitaire ou bande (2-4)";"+16";"+25 (+29 lutte)";"36";"* Source : Bestiaire 2 p.148
* Créature artificielle de taille G, N
* Un sort de graisse lancé sur le golem lui permet de bouger plus rapidement pendant 1d6 rounds, comme s'il était affecté par un sort de rapidité.
* Un sort de rouille inflige des dégâts normaux au golem mécanique et le rend chancelant pendant 1d6 rounds (sans jet de sauvegarde).";"* explosion mortelle : quand un golem mecanique est reduit a 0 point de vie ou moins, il explose en une deflagration d'engrenages et de debris tranchants comme des rasoirs. toutes les creatures situees dans une zone de 3 metres (2 c) de rayon subissent 12d6 points de degats de type tranchant (reflexes dd 18, 1/2 degats). le dd du jet de sauvegarde depend de la constitution
* espace : 3 m (2 c)
* rd : 10/adamantium
* immunites : magie, traits des creatures artificielles
* immunite a la magie : les golems mecaniques sont immunises contre tous les sorts et pouvoirs magiques contre lesquels la resistance a la magie s'applique. de plus, certains sorts et effets magiques fonctionnent de maniere differente contre eux, comme indique ci-dessous :
* allonge : 3 m (2 c)
* mur d'engrenages : par une action simple, un golem mecanique peut se replier sous la forme d'un mur d'engrenages tourbillonnant de 3 metres (2 c) sur 3 metres (2 c) ou de 1,50 metres (1 c) sur 6 metres (4 c). toute creature passant a travers le mur subit 15d6 points de degats de type tranchant. si le mur envahit un espace occupe par une creature, celle-ci peut tenter un jet de reflexes de dd 18 pour sauter d'un cote ou de l'autre et ainsi eviter les degats. le golem mecanique ne peut entreprendre aucune action lorsqu'il se trouve sous cette forme, si ce n'est reprendre sa forme normale (une action de mouvement). un golem mecanique sous cette forme conserve la meme ca et les memes immunites que sous sa forme normale
* reduction en charpies : un golem mecanique inflige 2d10+12 points de degats supplementaires de type tranchant quand il reussit un test de lutte, car des engrenages et des lames tranchants comme des rasoirs sortent de son corps pour ecraser et couper son ennemi";
"Gorgone";"24";"10";"24";"2";"16";"9";"+6";"+13";"+7";"+4";"100 (8d10+56)";"20, contact 9, pris au depourvu 20 (naturelle +11, taille -1)";"4.800";"9 m (6 c)";"";;"corne, +14 (2d8+7), 2 sabots +9 (1d6+3)";;"pietinement (2d8+10, dd 21), souffle (cone de 18 m (12 c), petrification, vigueur dd 21 annule)";"attaque en puissance, science de l'initiative, talent (perception), volonte de fer";"perception +17";;"odorat, vision dans le noir 18 m (12 c), vision nocturne ; perception +17";;"plaines temperes, collines rocheuses et souterrain";"aucun";"solitaire, couple, groupe (3-4) ou troupeau (5-12)";"+8";"+16";"26";"* Source : Bestiaire p.171
* Créature magique de taille G, N";"* espace : 3 m (2 c)
* souffle : une gorgone peut utiliser son souffle tous les 1d4+1 rounds pour creer un cone de gaz vert de 18 m (12 c). les creatures prises dans la zone peuvent effectuer un jet de vigueur de dd 21 pour tenter de resister aux effets du gaz. ceux qui echouent sont immediatement petrifies. cette petrification est temporaire : chaque round, la creature petrifiee peut effectuer un jet de vigueur de dd 21 pour se liberer de cet effet, du moins tant qu'elle n'est pas prise une seconde fois dans la zone d'effet du souffle de la gorgone. si une creature deja petrifiee est exposee a nouveau au souffle de la gorgone, la petrification devient permanente et elle ne peut plus effectuer de jet de vigueur pour s'en liberer naturellement. le dd des jets de sauvegarde dependent de la constitution
* allonge : 1,50 m (1 c)";
"Gorille sanguinaire";"19";"15";"16";"2";"12";"7";"+6";"+7";"+4";"+2";"30 (4d8+12)";"15, contact 11, pris au depourvu 13 (dex +2, naturelle +4, taille -1)";"800";"9 m (6 c), escalade 9 m (6 c)";"";;"morsure, +6 (1d6+4), 2 griffes, +6 (1d4+4)";;"eventration (2 griffes, 1d4+6)";"talent (perception), volonte de fer";"acrobaties +6, discretion +2, escalade +16, perception +8";;"odorat, vision nocturne ; perception +8";;"forets chaudes";"fortuit";"solitaire, couple ou troupe (3-6)";"+3";"+8";"20";"* Source : Bestiaire p.172
* Animal de taille G, N";"* espace : 3 m (2 c)
* allonge : 3 m (2 c)";
